source,headline,keyword1,keyword2,keyword3,pub_date,news_desk,section_name,type_of_material,word_count,month,year,cluster,pub_year
NYT,Tensions Over Racism Rock Australian Netball,Australia,others,others,2022-10-30,Foreign,World,News,1321,10,2022,4_Various,2021/2022
NYT,"After Years of ‘Hell’ in ISIS Detention Camp, 17 Australians Return Home",others,others,Australia,2022-10-29,Foreign,World,News,910,10,2022,4_Various,2021/2022
NYT,How Australia Fell Behind on Data Privacy,others,others,others,2022-10-21,Foreign,World,News,1054,10,2022,4_Various,2021/2022
NYT,New Crack in Apple’s Armor as Dozens Strike at Its Stores in Australia,others,Australia,others,2022-10-18,Business,Business Day,News,1165,10,2022,3_Oceania&Culture,2021/2022
NYT,Rising Waters Again Force Evacuations and Spread Misery in Australia,Australia,others,others,2022-10-15,Foreign,World,News,395,10,2022,4_Various,2021/2022
NYT,5 Australian Women Sue Qatar Over Invasive Searches at Airport,others,others,others,2022-10-21,Foreign,World,News,676,10,2022,4_Various,2021/2022
NYT,The Future of Australian Children’s TV,others,Australia,Culture,2022-10-14,Foreign,World,News,1032,10,2022,4_Various,2021/2022
NYT,Australia Aims to Cut Its High Rate of Species Extinctions to Zero,others,others,others,2022-10-05,Foreign,World,News,560,10,2022,4_Various,2021/2022
NYT,She Says She Was Raped in Parliament. Now Her Case Is at Court.,others,Politics and Government,others,2022-10-04,Foreign,World,News,1187,10,2022,4_Various,2021/2022
NYT,Brittany Higgins Takes the Stand,Australia,others,None,2022-10-07,Foreign,World,News,1051,10,2022,4_Various,2021/2022
NYT,Australia’s Proposed Integrity Commission Would Work Mostly in Secret,Australia,others,others,2022-09-28,Foreign,World,News,946,9,2022,4_Various,2021/2022
NYT,The Invisible Risks of a Town Ruined by Asbestos,Australia,others,None,2022-09-30,Foreign,World,News,1322,9,2022,4_Various,2021/2022
NYT,The Last Days of an Outback Town Where Every Breath Can Be Toxic,others,others,others,2022-09-29,Foreign,World,News,1363,9,2022,4_Various,2021/2022
NYT,"When Whales Are Stranded, a Race Against Time Begins",others,others,others,2022-09-23,Foreign,World,News,950,9,2022,4_Various,2021/2022
NYT,"In Melbourne, a Sky-High Drama Takes Hold",Australia,others,None,2022-09-23,Foreign,World,News,975,9,2022,4_Various,2021/2022
NYT,"On a Grim Anniversary, 230 Pilot Whales Are Stranded in Tasmania",others,others,others,2022-09-21,Foreign,World,News,577,9,2022,4_Various,2021/2022
NYT,"Jack Charles, Grandfather of Aboriginal Theater, Dies at 79",others,Culture,others,2022-09-20,Obits,Arts,Obit,1298,9,2022,4_Various,2021/2022
NYT,This Acrobatic Hunting Trick Is Straight Out of the Spider-Verse,others,others,others,2022-09-19,Science,Science,News,665,9,2022,4_Various,2021/2022
NYT,Fatal Kangaroo Attack Is Said to Be First in Australia in 86 Years,others,others,Australia,2022-09-13,Foreign,World,News,401,9,2022,4_Various,2021/2022
NYT,Cultural Cringe and ‘The Lost City of Melbourne’,Australia,others,others,2022-09-16,Foreign,World,News,1124,9,2022,4_Various,2021/2022
NYT,"For Australians, Too, It’s the End of an Era",Australia,others,None,2022-09-09,Foreign,World,News,760,9,2022,4_Various,2021/2022
NYT,"With Queen Gone, Former Colonies Find a Moment to Rethink Lasting Ties",others,others,Politics and Government,2022-09-11,Foreign,World,News,1633,9,2022,4_Various,2021/2022
NYT,Behind the Scenes of an Afghan (Australian) Soccer Story,others,Australia,others,2022-09-02,Foreign,World,News,1251,9,2022,4_Various,2021/2022
NYT,"Archie Roach, Who Lived and Sang the Aboriginal Blues, Dies at 66",others,others,others,2022-09-02,Obits,Arts,Obit,1337,9,2022,4_Various,2021/2022
NYT,Referendum Seeks to Mend the Open Wound at Australia’s Heart,others,others,others,2022-08-28,Foreign,World,News,1201,8,2022,1_Tennis,2021/2022
NYT,"Chris Dawson, Subject of ‘Teacher’s Pet’ Podcast, Is Found Guilty of Wife’s Murder",others,others,others,2022-08-30,Culture,World,News,520,8,2022,4_Various,2021/2022
NYT,Lachlan Murdoch Sues Australian News Site After It Urged Him to Do So,others,others,others,2022-08-23,Business,Business Day,News,611,8,2022,4_Various,2021/2022
NYT,"The Secret Powers of an Australian Prime Minister, Now Revealed",Politics and Government,others,Covid,2022-08-16,Foreign,World,News,907,8,2022,4_Various,2021/2022
NYT,Pigs to the Rescue: An Invasive Species Helped Save Australia’s Crocodiles,others,others,others,2022-08-15,Science,Science,News,1747,8,2022,4_Various,2021/2022
NYT,Shots Fired at Airport in Australia’s Capital,others,others,others,2022-08-14,Foreign,World,News,313,8,2022,4_Various,2021/2022
NYT,Australian Judge Orders New Trial in Rape Case That Shook Capital,others,others,others,2022-10-27,Foreign,World,News,954,10,2022,3_Oceania&Culture,2021/2022
NYT,Australia Reverses Recognition of West Jerusalem as Israel’s Capital,others,others,others,2022-10-18,Foreign,World,News,507,10,2022,4_Various,2021/2022
NYT,"For Many Disabled People, a Battle to Stay in Australia or New Zealand",others,others,others,2022-10-30,Foreign,World,News,1275,10,2022,3_Oceania&Culture,2021/2022
NYT,U.S. Sets Timeline for Oil Price Cap Enforcement,others,others,others,2022-10-31,Washington,Business Day,News,612,10,2022,4_Various,2021/2022
NYT,Your Wednesday Briefing: Tensions Rise in the West Bank,Australia,others,others,2022-10-25,NYTNow,Briefing,Briefing,1126,10,2022,2_WednesdayBriefing,2021/2022
NYT,Your Thursday Briefing: Iran’s Protests Intensify,Australia,others,others,2022-10-26,NYTNow,Briefing,Briefing,1289,10,2022,6_otherBriefings,2021/2022
NYT,You Just Can’t Get the Staff,Australia,others,others,2022-08-12,Foreign,World,News,1023,8,2022,4_Various,2021/2022
NYT,The Elusive Power of Cate Blanchett,others,others,others,2022-10-11,Magazine,Magazine,News,4913,10,2022,4_Various,2021/2022
NYT,Myanmar Sentences Australian Economic Adviser to Three Years,others,others,others,2022-09-29,Foreign,World,News,587,9,2022,4_Various,2021/2022
NYT,How Much Watching Time Do You Have This Weekend?,Culture,others,others,2022-10-06,Weekend,Arts,News,364,10,2022,4_Various,2021/2022
NYT,"Australian Floral Designs That, at Long Last, Embrace Australian Flora",others,others,others,2022-09-23,TStyle,T Magazine,News,597,9,2022,4_Various,2021/2022
NYT,Why Australia’s Climate Bill Matters,Global Warming,Global Warming,Australia,2022-08-06,Foreign,World,News,1164,8,2022,4_Various,2021/2022
NYT,Sri Lankan Family Wins a Long Battle to Stay in Australia,others,others,others,2022-08-05,Foreign,World,News,803,8,2022,4_Various,2021/2022
NYT,"Long a Climate Straggler, Australia Advances a Major Bill to Cut Emissions",Global Warming,others,Global Warming,2022-08-04,Foreign,World,News,588,8,2022,4_Various,2021/2022
NYT,Your Thursday Briefing: Iran Strikes Kurds in Iraq,others,Politics and Government,others,2022-09-28,NYTNow,Briefing,Briefing,1226,9,2022,6_otherBriefings,2021/2022
NYT,"Our Correspondents on the Biggest Music, Shows and Books in Their Parts of the World",Culture,others,others,2022-09-28,SpecialSections,World,News,1605,9,2022,4_Various,2021/2022
NYT,A Large Object Landed on His Sheep Farm. It Came From Space.,others,others,others,2022-08-04,Express,World,News,965,8,2022,4_Various,2021/2022
NYT,"After Years Away, One of Basketball’s Greats Returns at 41",others,others,Australia,2022-09-24,Sports,Sports,News,1254,9,2022,4_Various,2021/2022
NYT,"As Roger Federer Retires, Two Great Rivalries Come to an End",Tennis,Tennis,Tennis,2022-09-22,Sports,Sports,News,1373,9,2022,4_Various,2021/2022
NYT,Sydney Museum Sends Visitors Into an Oil Tank (and an Artist’s Imagination),Culture,others,others,2022-09-21,Culture,Arts,News,688,9,2022,4_Various,2021/2022
NYT,Police Seek Help in Deaths of Two Saudi Sisters in Australia,others,Australia,others,2022-07-29,Foreign,World,News,490,7,2022,4_Various,2021/2022
NYT,Your Wednesday Briefing: Putin and Xi Prepare to Meet,others,Culture,Politics and Government,2022-09-13,NYTNow,Briefing,Briefing,1219,9,2022,2_WednesdayBriefing,2021/2022
NYT,A Test Case for Australia’s Broad New Law Against Foreign Meddling,others,Australia,China,2022-07-28,Foreign,World,News,811,7,2022,3_Oceania&Culture,2021/2022
NYT,Your Tuesday Briefing: Ukraine’s Advance Continues,others,others,Politics and Government,2022-09-12,NYTNow,Briefing,Briefing,1140,9,2022,6_otherBriefings,2021/2022
NYT,How a Garbage-Bin War Schools Humans and Birds,others,others,others,2022-09-12,Science,Science,News,741,9,2022,4_Various,2021/2022
NYT,Rediscovering Australia’s Generation of Defiant Female Directors,Culture,others,others,2022-07-26,Culture,Movies,News,1151,7,2022,4_Various,2021/2022
NYT,"DNA Researchers Name the Somerton Man, Australia’s 73-Year-Old Cold Case",others,others,others,2022-07-26,Foreign,World,News,1165,7,2022,4_Various,2021/2022
NYT,The Tennis Umpire With the Velvet Voice Makes His Call,Tennis,others,Tennis,2022-09-08,Sports,Sports,News,1204,9,2022,4_Various,2021/2022
NYT,Your Friday Briefing: Queen Elizabeth II Dies at 96,others,others,others,2022-09-08,NYTNow,Briefing,Briefing,1270,9,2022,5_FridayBriefing,2021/2022
NYT,I’ll Trade You Some Cursed Baby Dolls and Metal Frogs for That Unwanted Banana Statue,Australia,others,None,2022-07-29,Foreign,World,News,1214,7,2022,4_Various,2021/2022
NYT,"After 37 Years, the Sunny World of ‘Neighbours’ Comes to an End",Culture,others,Australia,2022-07-28,Culture,Arts,News,1175,7,2022,4_Various,2021/2022
NYT,Australia avoids reimposing restrictions as hospitalizations surge.,Australia,Covid,others,2022-07-21,Foreign,World,News,545,7,2022,4_Various,2021/2022
NYT,World-Class Lessons on Zero-Waste,others,others,others,2022-08-31,Styles,Style,News,1484,8,2022,4_Various,2021/2022
NYT,The Keeper,others,others,others,2022-08-31,Sports,Sports,News,7825,8,2022,4_Various,2021/2022
NYT,"Solomon Islands Suspends Visits by Foreign Military Ships, Raising Concerns in U.S.",others,US politics and relations,others,2022-08-30,Washington,U.S.,News,874,8,2022,4_Various,2021/2022
NYT,‘Crisis and Decline’: Report Paints a Bleak Assessment of Australia’s Environment,Australia,others,others,2022-07-19,Foreign,World,News,565,7,2022,4_Various,2021/2022
NYT,"In Comebacks, Serena Williams Showed ‘You Can Never Underestimate Her’",Tennis,others,Tennis,2022-08-29,Sports,Sports,News,1067,8,2022,4_Various,2021/2022
NYT,"Serena Williams: 23 Grand Slam Titles, in the Books",Tennis,Tennis,Tennis,2022-08-29,Sports,Sports,News,3637,8,2022,4_Various,2021/2022
NYT,"Flood, Evacuate, Rinse, Repeat: A Relentless Pattern Batters Australia",others,others,Global Warming,2022-07-18,Foreign,World,News,1208,7,2022,4_Various,2021/2022
NYT,"As Covid Cases Rise Again, No Clear Guidance From the Top",Australia,Covid,None,2022-07-22,Foreign,World,News,941,7,2022,4_Various,2021/2022
InternationalNYT,When the First Major is the Only One You Win,Tennis,Tennis,others,2022-08-27,SpecialSections,Sports,News,1185,8,2022,4_Various,2021/2022
NYT,New York City Finally Gets Its Aman,Travel and Vacations,others,others,2022-08-26,TStyle,T Magazine,News,2047,8,2022,3_Oceania&Culture,2021/2022
NYT,Australia Shifts Its Tone at the Pacific Islands Forum,Australia,others,others,2022-07-15,Foreign,World,News,810,7,2022,4_Various,2021/2022
NYT,"Carmen Callil, Founder of the Feminist Press Virago, Dies at 84",others,others,Culture,2022-10-29,Obits,Books,Obit,1552,10,2022,4_Various,2021/2022
NYT,"In New Zealand, a 23-Million-Year-Old Fossil Is Carried Away by Parties Unknown",others,others,others,2022-10-26,Foreign,World,News,943,10,2022,3_Oceania&Culture,2021/2022
NYT,How Taiwan’s ‘Adorable’ and Ambitious Diplomacy Aims to Keep the Island Safe,others,others,Politics and Government,2022-10-20,Foreign,World,News,1448,10,2022,4_Various,2021/2022
NYT,Your Wednesday Briefing: New Blasts Shake Crimea,Australia,others,others,2022-08-16,NYTNow,Briefing,Briefing,1250,8,2022,2_WednesdayBriefing,2021/2022
NYT,"Countering China, the U.S. Signs a Broad Deal to Aid Pacific Nations",US politics and relations,US politics and relations,others,2022-09-30,Foreign,World,News,761,9,2022,4_Various,2021/2022
NYT,Your Tuesday Briefing: Kenya’s Next President?,others,others,others,2022-08-15,NYTNow,Briefing,Briefing,1187,8,2022,6_otherBriefings,2021/2022
NYT,Your Monday Briefing: U.S. Lawmakers Visit Taiwan,others,others,Australia,2022-08-14,NYTNow,Briefing,Briefing,1304,8,2022,6_otherBriefings,2021/2022
NYT,"The Godwit’s Long, Long Nonstop Journey",others,others,others,2022-09-20,Science,Science,News,1627,9,2022,4_Various,2021/2022
NYT,Woman Is Arrested in South Korea Over Deaths of 2 Children in New Zealand,others,others,others,2022-09-15,Foreign,World,News,384,9,2022,3_Oceania&Culture,2021/2022
NYT,"Just Months After the Last Floods, It’s the ‘Same Thing Again’",others,Australia,others,2022-07-09,Foreign,World,News,987,7,2022,4_Various,2021/2022
NYT,Climate Protesters in Australia Face Harsh New Penalties,Global Warming,others,others,2022-07-01,Foreign,World,News,979,7,2022,3_Oceania&Culture,2021/2022
NYT,"Parents of 8-Year-Old Were Accused of Her Murder. Now, So Are 12 More People.",others,others,others,2022-07-06,Foreign,World,News,468,7,2022,4_Various,2021/2022
NYT,"With Housing Limited, a Gecko and a Possum Family Became Roommates",others,others,others,2022-07-06,Science,Science,News,695,7,2022,4_Various,2021/2022
NYT,Pelosi’s Taiwan Visit Risks Undermining U.S. Efforts With Asian Allies,others,US politics and relations,others,2022-08-03,Foreign,World,News,1352,8,2022,4_Various,2021/2022
